,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
38,tVB11pOiDhPWlt_o6ylMNg,Enthaice Thai Kitchen,33-20 31st Ave,4.0,$$,11106,"['delivery', 'pickup']",696,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
39,_ucIHYqW0ZwAdzaEIYnnsA,One Two Thai,153 E 33 St 10016,4.5,$$,10016,"['delivery', 'pickup']",81,"[{'alias': 'thai', 'title': 'Thai'}]"
40,HnTcWZbZJzNAYO8YseQlSQ,PuTawn Local Thai Kitchen,1584 First Av,4.5,$$,10028,"['delivery', 'pickup']",219,"[{'alias': 'thai', 'title': 'Thai'}]"
41,qnD3XDvYIrFh_FppNH90cA,Thais New York,1750 2nd Ave,4.0,$$,10128,"['delivery', 'pickup']",150,"[{'alias': 'thai', 'title': 'Thai'}]"
42,2AcDHuatOFXhqJDedZwGiA,Tung Thong Thai Restaurant,561 W 169th St,3.5,$$,10032,"['delivery', 'pickup']",297,"[{'alias': 'thai', 'title': 'Thai'}]"
,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
0,YS8pw7sYOBqaW23FCOqecg,Glur Thai,144 W 19th St,4.5,$$,10011,"['pickup', 'delivery']",127,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]"
1,fRO4Fwe5uRAajMcTwLbVkA,Ayada Thai,7708 Woodside Ave,4.0,$$,11373,"['pickup', 'delivery']",1224,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
2,9VyMJICKGbC7Y5Ssq-Xk7w,The Sabieng Thai,71 1st Ave,4.0,$$,10003,"['pickup', 'delivery']",102,"[{'alias': 'thai', 'title': 'Thai'}]"
3,toykv8K0yg8qtvZSXRQ5bg,Pochana Thai Kitchen,33-16 30th Ave,4.0,$$,11103,"['pickup', 'delivery']",193,"[{'alias': 'thai', 'title': 'Thai'}]"
4,-Q8MYIWoE4EsGQtudIOY0w,Bua Thai Ramen & Robata Grill,1611 2nd Ave,4.5,$$,10028,"['pickup', 'delivery', 'restaurant_reservation']",847,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
5,sljnE3uoRUmM7aW5f1I3Ug,One More Thai,6 Clinton St,3.5,$$,10002,"['pickup', 'delivery']",257,"[{'alias': 'thai', 'title': 'Thai'}]"
6,GSOwJ5Gr8X4eGbkIjCzMWA,Thaism,278 Smith St,3.5,$$,11231,"['pickup', 'delivery']",159,"[{'alias': 'thai', 'title': 'Thai'}]"
7,io73CG07m5_w9TP3_rl8DQ,Thai Basil,3682 Nostrand Ave,3.0,$$,11229,"['pickup', 'delivery']",137,"[{'alias': 'thai', 'title': 'Thai'}]"
8,dqjko5ndMGayALuhwq3ghQ,Thailicious,71 Clinton St,4.5,$$,10002,"['pickup', 'delivery']",119,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]"
